Illinois;EastOrWest;*
Indiana;EastOrWest;*
Iowa;EastOrWest;*
Kansas;EastOrWest;*
Michigan;EastOrWest;*
Minnesota;EastOrWest;*
Missouri;EastOrWest;*
Nebraska;EastOrWest;*
North Dakota;EastOrWest;*
Ohio;EastOrWest;*
South Dakota;EastOrWest;*
Wisconsin;EastOrWest;*
Connecticut;NorthOrSouth;*
Delaware;NorthOrSouth;*
Maine;NorthOrSouth;*
Maryland;NorthOrSouth;*
Massachusetts;NorthOrSouth;*
New Hampshire;NorthOrSouth;*
New Jersey;NorthOrSouth;*
New York;NorthOrSouth;*
Pennsylvania;NorthOrSouth;*
Rhode Island;NorthOrSouth;*
Vermont;NorthOrSouth;*
District of Columbia;NorthOrSouth;*
Alabama;NorthOrSouth;*
Arkansas;NorthOrSouth;*
Florida;NorthOrSouth;*
Georgia;NorthOrSouth;*
Kentucky;NorthOrSouth;*
Louisiana;NorthOrSouth;*
Mississippi;NorthOrSouth;*
North Carolina;NorthOrSouth;*
Oklahoma;NorthOrSouth;*
South Carolina;NorthOrSouth;*
Tennessee;NorthOrSouth;*
Texas;NorthOrSouth;*
Virginia;NorthOrSouth;*
West Virginia;NorthOrSouth;*
Alaska;EastOrWest;*
Arizona;EastOrWest;*
California;EastOrWest;*
Colorado;EastOrWest;*
Hawaii;EastOrWest;*
Idaho;EastOrWest;*
Montana;EastOrWest;*
Nevada;EastOrWest;*
New Mexico;EastOrWest;*
Oregon;EastOrWest;*
Utah;EastOrWest;*
Washington;EastOrWest;*
Wyoming;EastOrWest;*
